Date,Close,Open,High,Low,Change
"October 28, 2012",1.2837,1.2948,1.3022,1.282,-0.81
"November 04, 2012",1.2709,1.2812,1.2877,1.2689,-1
"November 11, 2012",1.2744,1.2712,1.2803,1.2662,0.28
"November 18, 2012",1.2976,1.2738,1.2992,1.2729,1.82
"November 25, 2012",1.2986,1.2973,1.3028,1.2879,0.08
"December 02, 2012",1.2927,1.2986,1.3129,1.2881,-0.45
"December 09, 2012",1.3163,1.2902,1.3175,1.288,1.83
"December 16, 2012",1.3188,1.319,1.331,1.3144,0.19
"December 23, 2012",1.3216,1.319,1.3287,1.3167,0.21
"December 30, 2012",1.3069,1.3213,1.3301,1.2999,-1.11
"January 06, 2013",1.3344,1.3071,1.3366,1.3017,2.1
"January 13, 2013",1.3319,1.3342,1.3405,1.3258,-0.19
"January 20, 2013",1.3462,1.3321,1.3481,1.3264,1.07
"January 27, 2013",1.364,1.3464,1.3712,1.3414,1.32
"February 03, 2013",1.3365,1.3643,1.366,1.3354,-2.02
